Time,Overnight,1 week,1 month,3 months,6 months
2017 Q1,0.10,0.22,0.44,0.94,1.08
2017 Q2,0.34,0.37,0.47,0.78,0.98
2017 Q3,0.92,0.67,0.58,0.78,0.96
2017 Q4,1.34,1.32,1.19,1.31,1.36
2018 Q1,0.59,0.90,0.99,1.21,1.54
2018 Q2,2.70,2.24,2.01,2.10,2.26
2018 Q3,3.88,3.04,2.23,2.28,2.38
2018 Q4,4.60,2.55,2.24,2.33,2.46
2019 Q1,2.67,1.88,1.66,1.76,1.93
2019 Q2,2.97,2.76,2.53,2.46,2.40
2019 Q3,3.04,2.23,1.88,2.26,2.33
2019 Q4,4.56,3.13,2.67,2.43,2.43
2020 Q1,1.85,2.01,2.05,1.93,1.94
2020 Q2,0.18,0.29,0.44,0.78,1.02
2020 Q3,0.10,0.18,0.48,0.61,0.75
2020 Q4,0.04,0.09,0.18,0.35,0.54
2021 Q1,0.03,0.06,0.13,0.23,0.42
2021 Q2,0.05,0.07,0.10,0.17,0.26
2021 Q3,0.04,0.04,0.06,0.14,0.24
2021 Q4,0.06,0.08,0.16,0.26,0.32
2022 Q1,0.09,0.17,0.31,0.55,0.99
2022 Q2,1.43,0.98,0.87,1.75,2.40
2022 Q3,2.26,2.35,2.62,3.33,4.01
2022 Q4,3.23,3.55,4.35,4.99,5.40
2023 Q1,1.94,2.58,3.14,3.71,4.01
2023 Q2,5.75,5.27,4.93,4.97,4.97
2023 Q3,5.68,5.75,5.40,5.27,5.39
2023 Q4,6.09,5.36,5.27,5.15,5.19
2024 Q1,5.00,5.01,4.80,4.72,4.75
2024 Q2,4.98,4.83,4.61,4.75,4.81
2024 Q3,6.39,4.95,4.32,4.18,4.03
2024 Q4,5.65,5.09,4.58,4.37,4.20
2025 Q1,3.85,3.43,3.73,3.88,3.97
2025 Q2,0.03,0.16,0.73,1.68,2.38
2025 Q3,5.02,4.18,3.54,3.53,3.41
2025 Q4,4.38,4.03,3.08,2.93,2.99

Source: https://www.censtatd.gov.hk/en/web_table.html?id=340-45022#
