Year,Age group,Population,Percentage of total population
2017,65 - 69,424.4,5.7
2017,70 - 74,265.2,3.6
2017,75 - 79,192.7,2.6
2017,80 - 84,173.9,2.3
2017,≥85,190.5,2.6
2018,65 - 69,443.3,5.9
2018,70 - 74,295.9,4.0
2018,75 - 79,187.6,2.5
2018,80 - 84,173.1,2.3
2018,≥85,205.4,2.7
2019,65 - 69,459.0,6.1
2019,70 - 74,329.2,4.4
2019,75 - 79,187.9,2.5
2019,80 - 84,171.5,2.3
2019,≥85,211.9,2.8
2020,65 - 69,475.6,6.4
2020,70 - 74,359.4,4.8
2020,75 - 79,188.2,2.5
2020,80 - 84,169.8,2.3
2020,≥85,224.3,3.0
2021,65 - 69,508.3,6.9
2021,70 - 74,381.4,5.2
2021,75 - 79,209.5,2.8
2021,80 - 84,162.2,2.2
2021,≥85,233.7,3.2
2022,65 - 69,548.5,7.3
2022,70 - 74,413.4,5.5
2022,75 - 79,239.4,3.2
2022,80 - 84,158.2,2.1
2022,≥85,235.2,3.1
2023,65 - 69,581.4,7.7
2023,70 - 74,434.1,5.8
2023,75 - 79,273.4,3.6
2023,80 - 84,156.0,2.1
2023,≥85,244.2,3.2
2024,65 - 69,590.9,7.9
2024,70 - 74,451.2,6.0
2024,75 - 79,310.4,4.1
2024,80 - 84,158.9,2.1
2024,≥85,249.7,3.3
2025,65 - 69,603.7,8.0
2025,70 - 74,464.4,6.2
2025,75 - 79,337.7,4.5
2025,80 - 84,161.0,2.1
2025,≥85,253.0,3.4

Source: https://www.censtatd.gov.hk/en/web_table.html?id=110-01001#
