Time,Detailed previous industry,Unemployed Persons Number,Unemployed Persons Percentage Share,Unemployment Rate
1/2017 - 3/2017,"Public administration, social and personal services",16.0,12.6,1.5
1/2017 - 3/2017,Human health and social work activities,3.9,3.0,1.9
1/2017 - 3/2017,Social work activities,2.4,1.9,3.3
4/2017 - 6/2017,"Public administration, social and personal services",13.4,10.6,1.3
4/2017 - 6/2017,Human health and social work activities,3.5,2.8,1.7
4/2017 - 6/2017,Social work activities,2.0,1.6,2.7
7/2017 - 9/2017,"Public administration, social and personal services",14.8,11.4,1.4
7/2017 - 9/2017,Human health and social work activities,3.3,2.6,1.6
7/2017 - 9/2017,Social work activities,1.9,1.5,2.5
10/2017 - 12/2017,"Public administration, social and personal services",14.1,12.9,1.3
10/2017 - 12/2017,Human health and social work activities,2.2,2.0,1.1
10/2017 - 12/2017,Social work activities,1.2,1.1,1.5
1/2018 - 3/2018,"Public administration, social and personal services",14.0,12.6,1.3
1/2018 - 3/2018,Human health and social work activities,3.5,3.1,1.6
1/2018 - 3/2018,Social work activities,1.6,1.5,2.1
4/2018 - 6/2018,"Public administration, social and personal services",13.2,11.7,1.2
4/2018 - 6/2018,Human health and social work activities,4.0,3.5,1.8
4/2018 - 6/2018,Social work activities,1.9,1.7,2.5
7/2018 - 9/2018,"Public administration, social and personal services",12.6,10.7,1.2
7/2018 - 9/2018,Human health and social work activities,2.8,2.3,1.3
7/2018 - 9/2018,Social work activities,1.4,1.2,1.8
10/2018 - 12/2018,"Public administration, social and personal services",11.7,11.0,1.1
10/2018 - 12/2018,Human health and social work activities,2.1,2.0,1.0
10/2018 - 12/2018,Social work activities,1.0,1.0,1.3
1/2019 - 3/2019,"Public administration, social and personal services",14.4,13.1,1.3
1/2019 - 3/2019,Human health and social work activities,4.2,3.8,1.9
1/2019 - 3/2019,Social work activities,2.0,1.8,2.5
4/2019 - 6/2019,"Public administration, social and personal services",12.2,10.7,1.1
4/2019 - 6/2019,Human health and social work activities,3.8,3.3,1.7
4/2019 - 6/2019,Social work activities,1.8,1.6,2.3
7/2019 - 9/2019,"Public administration, social and personal services",12.7,10.6,1.1
7/2019 - 9/2019,Human health and social work activities,3.2,2.7,1.4
7/2019 - 9/2019,Social work activities,1.4,1.1,1.7
10/2019 - 12/2019,"Public administration, social and personal services",13.0,10.5,1.1
10/2019 - 12/2019,Human health and social work activities,3.0,2.4,1.3
10/2019 - 12/2019,Social work activities,1.1,0.9,1.3
1/2020 - 3/2020,"Public administration, social and personal services",22.6,13.6,2.0
1/2020 - 3/2020,Human health and social work activities,4.2,2.5,1.7
1/2020 - 3/2020,Social work activities,1.8,1.1,2.1
4/2020 - 6/2020,"Public administration, social and personal services",37.9,15.6,3.3
4/2020 - 6/2020,Human health and social work activities,6.3,2.6,2.6
4/2020 - 6/2020,Social work activities,2.9,1.2,3.6
7/2020 - 9/2020,"Public administration, social and personal services",36.3,14.2,3.2
7/2020 - 9/2020,Human health and social work activities,6.9,2.7,2.8
7/2020 - 9/2020,Social work activities,3.1,1.2,3.9
10/2020 - 12/2020,"Public administration, social and personal services",34.6,14.1,3.0
10/2020 - 12/2020,Human health and social work activities,6.1,2.5,2.5
10/2020 - 12/2020,Social work activities,2.9,1.2,3.4
1/2021 - 3/2021,"Public administration, social and personal services",40.1,15.4,3.5
1/2021 - 3/2021,Human health and social work activities,4.9,1.9,2.0
1/2021 - 3/2021,Social work activities,2.4,0.9,2.8
4/2021 - 6/2021,"Public administration, social and personal services",30.0,14.0,2.7
4/2021 - 6/2021,Human health and social work activities,4.3,2.0,1.8
4/2021 - 6/2021,Social work activities,2.0,0.9,2.4
