YEAR,TOTAL
2025 4,23233.7
2025 3,22972.0
2025 2,26646.7
2025 1,21948.0
2024 4,23642.7
2024 3,24357.8	
2024 2,26667.8	
2024 1,19728.7	
2023 4,20807.8
2023 3,19131.5	
2023 2,18487.9	
2023 1,24553.4	
2022 4,20824.0
2022 3,17930.2	
2022 2,17487.1	
2022 1,22417.2	
2021 4,18375.4
2021 3,13920.5	
2021 2,14551.8	
2021 1,19984.8	
2020 4,14776.0
2020 3,13647.9	
2020 2,14389.0	
2020 1,20076.9	
2019 4,14861.8
2019 3,13350.1	
2019 2,10720.8	
2019 1,19595.7	
2018 4,15910.7
2018 3,13881.3	
2018 2,16890.7	
2018 1,21883.9	
2017 4,20155.8
2017 3,17047.8	 
2017 2,17098.0	 
2017 1,21676.1 	

Source: https://www.devb.gov.hk/en/publications_and_press_releases/figures_and_statistics/public_works_programme/index.html
