Time,Unemployed Persons Number,Unemployed Persons Percentage Share,Unemployment Rate
1/2017 - 3/2017,15.7,12.4,4.5
4/2017 - 6/2017,17.5,13.9,4.8
7/2017 - 9/2017,17.2,13.3,4.7
10/2017 - 12/2017,14.5,13.1,4.0
1/2018 - 3/2018,17.4,15.6,4.7
4/2018 - 6/2018,16.7,14.9,4.5
7/2018 - 9/2018,17.7,15.0,4.8
10/2018 - 12/2018,17.9,16.8,4.8
1/2019 - 3/2019,19.7,17.9,5.5
4/2019 - 6/2019,17.9,15.7,5.0
7/2019 - 9/2019,15.1,12.6,4.2
10/2019 - 12/2019,19.8,15.9,5.6
1/2020 - 3/2020,29.6,17.8,8.7
4/2020 - 6/2020,38.7,15.9,11.2
7/2020 - 9/2020,37.3,14.6,10.9
10/2020 - 12/2020,37.6,15.3,10.7
1/2021 - 3/2021,40.5,15.5,11.5
4/2021 - 6/2021,31.7,14.8,8.9
7/2021 - 9/2021,23.9,13.2,6.7
10/2021 - 12/2021,18.4,12.6,5.2
1/2022 - 3/2022,27.6,14.6,8.0
4/2022 - 6/2022,25.9,14.4,7.3
7/2022 - 9/2022,21.8,13.8,6.1
10/2022 - 12/2022,17.6,13.8,4.9
1/2023 - 3/2023,15.8,13.6,4.5
4/2023 - 6/2023,15.0,13.2,4.2
7/2023 - 9/2023,13.9,12.2,3.9
10/2023 - 12/2023,13.6,12.9,3.7
1/2024 - 3/2024,15.2,13.5,4.1
4/2024 - 6/2024,15.6,13.6,4.2
7/2024 - 9/2024,16.1,13.5,4.4
10/2024 - 12/2024,16.3,14.4,4.4
1/2025 - 3/2025,18.3,14.9,5.0
4/2025 - 6/2025,24.3,17.8,6.8
7/2025 - 9/2025,25.9,16.6,7.2
10/2025 - 12/2025,23.8,17.2,6.7

Source: https://www.censtatd.gov.hk/en/web_table.html?id=210-06405#
