Year,Month,Value of retail sales,Value index of retail sales
2017,Jan,43112,154.4
2017,Feb,34820,124.7
2017,Mar,35691,127.8
2017,Apr,35206,126.1
2017,May,35898,128.5
2017,Jun,33723,120.8
2017,Jul,36035,129.0
2017,Aug,34849,124.8
2017,Sep,35708,127.9
2017,Oct,37525,134.4
2017,Nov,38718,138.6
2017,Dec,44852,160.6
2018,Jan,44929,160.9
2018,Feb,45241,162.0
2018,Mar,39789,142.5
2018,Apr,39514,141.5
2018,May,40513,145.1
2018,Jun,37747,135.2
2018,Jul,38849,139.1
2018,Aug,38109,136.5
2018,Sep,36575,131.0
2018,Oct,39771,142.4
2018,Nov,39248,140.5
2018,Dec,44883,160.7
2019,Jan,48084,172.2
2019,Feb,40605,145.4
2019,Mar,39716,142.2
2019,Apr,37724,135.1
2019,May,39931,143.0
2019,Jun,35232,126.2
2019,Jul,34399,123.2
2019,Aug,29396,105.3
2019,Sep,29912,107.1
2019,Oct,30059,107.6
2019,Nov,29929,107.2
2019,Dec,36173,129.5
2020,Jan,37735,135.1
2020,Feb,22723,81.4
2020,Mar,22977,82.3
2020,Apr,24103,86.3
2020,May,26788,95.9
2020,Jun,26531,95.0
2020,Jul,26466,94.8
2020,Aug,25551,91.5
2020,Sep,26076,93.4
2020,Oct,27430,98.2
2020,Nov,28699,102.8
2020,Dec,31372,112.3
2021,Jan,32549,116.6
2021,Feb,29531,105.7
2021,Mar,27626,98.9
2021,Apr,27018,96.7
2021,May,29565,105.9
2021,Jun,28074,100.5
2021,Jul,27203,97.4
2021,Aug,28586,102.4
2021,Sep,28018,100.3
2021,Oct,30735,110.1
2021,Nov,30749,110.1
2021,Dec,33294,119.2
2022,Jan,33835,121.2
2022,Feb,25213,90.3
2022,Mar,23816,85.3
2022,Apr,30173,108.0
2022,May,29105,104.2
2022,Jun,27703,99.2
2022,Jul,28319,101.4
2022,Aug,28531,102.2
2022,Sep,28113,100.7
2022,Oct,31979,114.5
2022,Nov,29483,105.6
2022,Dec,33692,120.6
2023,Jan,36176,129.5
2023,Feb,33115,118.6
2023,Mar,33522,120.0
2023,Apr,34655,124.1
2023,May,34488,123.5
2023,Jun,33093,118.5
2023,Jul,33035,118.3
2023,Aug,32446,116.2
2023,Sep,31759,113.7
2023,Oct,33850,121.2
2023,Nov,34182,122.4
2023,Dec,36328,130.1
2024,Jan,36518,130.8
2024,Feb,33759,120.9
2024,Mar,31167,111.6
2024,Apr,29570,105.9
2024,May,30571,109.5
2024,Jun,29881,107.0
2024,Jul,29158,104.4
2024,Aug,29217,104.6
2024,Sep,29566,105.9
2024,Oct,32908,117.8
2024,Nov,31677,113.4
2024,Dec,32855,117.6
2025,Jan,35379,126.7
2025,Feb,29385,105.2
2025,Mar,30091,107.8
2025,Apr,28876,103.4
2025,May,31319,112.1
2025,Jun,30094,107.8
2025,Jul,29671,106.2
2025,Aug,30367,108.7
2025,Sep,31344,112.2
2025,Oct,35174,126.0
2025,Nov,33727,120.8
2025,Dec,35018,125.4

Source: https://www.censtatd.gov.hk/en/web_table.html?id=620-67001#
