Time,Unemployed Persons Number,Unemployed Persons Percentage Share,Unemployment Rate
1/2017 - 3/2017,31.7,25.0,4.8
4/2017 - 6/2017,31.1,24.7,4.7
7/2017 - 9/2017,29.6,22.9,4.5
10/2017 - 12/2017,28.6,26.0,4.3
1/2018 - 3/2018,27.9,25.0,4.2
4/2018 - 6/2018,25.7,22.8,3.9
7/2018 - 9/2018,25.9,22.0,4.0
10/2018 - 12/2018,23.0,21.7,3.6
1/2019 - 3/2019,23.5,21.3,3.6
4/2019 - 6/2019,25.4,22.2,3.9
7/2019 - 9/2019,30.2,25.2,4.9
10/2019 - 12/2019,30.8,24.8,5.1
1/2020 - 3/2020,39.7,23.9,6.9
4/2020 - 6/2020,61.0,25.1,10.7
7/2020 - 9/2020,64.1,25.1,11.3
10/2020 - 12/2020,60.0,24.4,10.5
1/2021 - 3/2021,61.1,23.4,10.8
4/2021 - 6/2021,47.2,22.0,8.4
7/2021 - 9/2021,40.1,22.2,7.1
10/2021 - 12/2021,31.0,21.4,5.5
1/2022 - 3/2022,48.5,25.6,8.9
4/2022 - 6/2022,41.3,22.9,7.4
7/2022 - 9/2022,32.3,20.4,5.9
10/2022 - 12/2022,26.2,20.6,4.7
1/2023 - 3/2023,23.6,20.4,4.2
4/2023 - 6/2023,22.5,19.7,4.0
7/2023 - 9/2023,20.5,18.0,3.7
10/2023 - 12/2023,20.0,18.8,3.6
1/2024 - 3/2024,20.9,18.7,3.8
4/2024 - 6/2024,22.5,19.6,4.2
7/2024 - 9/2024,24.9,20.9,4.7
10/2024 - 12/2024,22.8,20.2,4.3
1/2025 - 3/2025,24.4,19.9,4.7
4/2025 - 6/2025,27.0,19.8,5.2
7/2025 - 9/2025,30.7,19.7,5.9
10/2025 - 12/2025,27.0,19.5,5.2

Source: https://www.censtatd.gov.hk/en/web_table.html?id=210-06405#
