Time,Unemployed Persons Number,Unemployed Persons Percentage Share,Unemployment Rate
1/2017 - 3/2017,14.3,11.3,3.1
4/2017 - 6/2017,14.5,11.5,3.1
7/2017 - 9/2017,12.8,9.9,2.8
10/2017 - 12/2017,11.8,10.7,2.5
1/2018 - 3/2018,10.7,9.6,2.3
4/2018 - 6/2018,12.1,10.7,2.6
7/2018 - 9/2018,9.2,7.8,2.0
10/2018 - 12/2018,10.6,10.0,2.3
1/2019 - 3/2019,11.7,10.6,2.5
4/2019 - 6/2019,12.5,11.0,2.7
7/2019 - 9/2019,12.0,10.0,2.6
10/2019 - 12/2019,12.2,9.8,2.6
1/2020 - 3/2020,16.1,9.7,3.5
4/2020 - 6/2020,27.2,11.2,5.9
7/2020 - 9/2020,27.0,10.6,5.8
10/2020 - 12/2020,29.1,11.8,6.3
1/2021 - 3/2021,31.8,12.2,6.9
4/2021 - 6/2021,27.7,12.9,6.0
7/2021 - 9/2021,21.6,12.0,4.8
10/2021 - 12/2021,20.7,14.2,4.6
1/2022 - 3/2022,22.5,11.9,5.1
4/2022 - 6/2022,23.5,13.0,5.5
7/2022 - 9/2022,20.3,12.8,4.7
10/2022 - 12/2022,16.4,12.9,3.8
1/2023 - 3/2023,14.7,12.7,3.4
4/2023 - 6/2023,13.9,12.2,3.2
7/2023 - 9/2023,12.4,10.9,2.9
10/2023 - 12/2023,11.8,11.2,2.7
1/2024 - 3/2024,11.7,10.4,2.7
4/2024 - 6/2024,13.7,12.0,3.2
7/2024 - 9/2024,12.0,10.1,2.8
10/2024 - 12/2024,13.0,11.5,3.0
1/2025 - 3/2025,14.0,11.4,3.2
4/2025 - 6/2025,14.1,10.3,3.3
7/2025 - 9/2025,15.4,9.9,3.6
10/2025 - 12/2025,14.3,10.4,3.4

Source: https://www.censtatd.gov.hk/en/web_table.html?id=210-06405#
