Year,Quarter,Industry of main employment,Overall(1000 persons)
2017,Q1,Construction,335.1
2017,Q1,"Retail, accommodation and food services",630.3
2017,Q1,Retail,340.8
2017,Q1,Accommodation and food services,289.5
2017,Q1,"Transportation, storage, postal and courier services, information and communications",454.8
2017,Q1,"Public administration, social and personal services",1021.9
2017,Q2,Construction,342.5
2017,Q2,"Retail, accommodation and food services",632.6
2017,Q2,Retail,338.0
2017,Q2,Accommodation and food services,294.6
2017,Q2,"Transportation, storage, postal and courier services, information and communications",452.6
2017,Q2,"Public administration, social and personal services",1026.1
2017,Q3,Construction,345.9
2017,Q3,"Retail, accommodation and food services",630.8
2017,Q3,Retail,338.3
2017,Q3,Accommodation and food services,292.4
2017,Q3,"Transportation, storage, postal and courier services, information and communications",450.2
2017,Q3,"Public administration, social and personal services",1032.2
2017,Q4,Construction,346.1
2017,Q4,"Retail, accommodation and food services",631.2
2017,Q4,Retail,337.5
2017,Q4,Accommodation and food services,293.7
2017,Q4,"Transportation, storage, postal and courier services, information and communications",457.0
2017,Q4,"Public administration, social and personal services",1047.0
2018,Q1,Construction,353.1
2018,Q1,"Retail, accommodation and food services",639.3
2018,Q1,Retail,343.1
2018,Q1,Accommodation and food services,296.2
2018,Q1,"Transportation, storage, postal and courier services, information and communications",455.0
2018,Q1,"Public administration, social and personal services",1060.0
2018,Q2,Construction,353.3
2018,Q2,"Retail, accommodation and food services",632.5
2018,Q2,Retail,336.8
2018,Q2,Accommodation and food services,295.8
2018,Q2,"Transportation, storage, postal and courier services, information and communications",450.9
2018,Q2,"Public administration, social and personal services",1070.1
2018,Q3,Construction,350.2
2018,Q3,"Retail, accommodation and food services",626.4
2018,Q3,Retail,334.2
2018,Q3,Accommodation and food services,292.2
2018,Q3,"Transportation, storage, postal and courier services, information and communications",455.5
2018,Q3,"Public administration, social and personal services",1077.3
2018,Q4,Construction,352.7
2018,Q4,"Retail, accommodation and food services",623.3
2018,Q4,Retail,328.9
2018,Q4,Accommodation and food services,294.4
2018,Q4,"Transportation, storage, postal and courier services, information and communications",453.9
2018,Q4,"Public administration, social and personal services",1093.8
2019,Q1,Construction,336.8
2019,Q1,"Retail, accommodation and food services",631.4
2019,Q1,Retail,327.9
2019,Q1,Accommodation and food services,303.5
2019,Q1,"Transportation, storage, postal and courier services, information and communications",452.2
2019,Q1,"Public administration, social and personal services",1096.3
2019,Q2,Construction,337.9
2019,Q2,"Retail, accommodation and food services",626.9
2019,Q2,Retail,325.3
2019,Q2,Accommodation and food services,301.6
2019,Q2,"Transportation, storage, postal and courier services, information and communications",447.6
2019,Q2,"Public administration, social and personal services",1111.5
2019,Q3,Construction,342.8
2019,Q3,"Retail, accommodation and food services",591.0
2019,Q3,Retail,309.6
2019,Q3,Accommodation and food services,281.3
2019,Q3,"Transportation, storage, postal and courier services, information and communications",456.6
2019,Q3,"Public administration, social and personal services",1121.3
2019,Q4,Construction,334.3
2019,Q4,"Retail, accommodation and food services",568.1
2019,Q4,Retail,294.2
2019,Q4,Accommodation and food services,273.8
2019,Q4,"Transportation, storage, postal and courier services, information and communications",457.0
2019,Q4,"Public administration, social and personal services",1130.3
2020,Q1,Construction,311.4
2020,Q1,"Retail, accommodation and food services",535.0
2020,Q1,Retail,283.1
2020,Q1,Accommodation and food services,251.9
2020,Q1,"Transportation, storage, postal and courier services, information and communications",445.7
2020,Q1,"Public administration, social and personal services",1127.3
2020,Q2,Construction,305.6
2020,Q2,"Retail, accommodation and food services",510.8
2020,Q2,Retail,273.6
2020,Q2,Accommodation and food services,237.2
2020,Q2,"Transportation, storage, postal and courier services, information and communications",432.3
2020,Q2,"Public administration, social and personal services",1113.9
2020,Q3,Construction,303.7
2020,Q3,"Retail, accommodation and food services",500.7
2020,Q3,Retail,272.4
2020,Q3,Accommodation and food services,228.3
2020,Q3,"Transportation, storage, postal and courier services, information and communications",435.5
2020,Q3,"Public administration, social and personal services",1105.5
2020,Q4,Construction,315.3
2020,Q4,"Retail, accommodation and food services",509.0
2020,Q4,Retail,271.7
2020,Q4,Accommodation and food services,237.3
2020,Q4,"Transportation, storage, postal and courier services, information and communications",434.6
2020,Q4,"Public administration, social and personal services",1105.6
2021,Q1,Construction,310.3
